recipe id,ingredient id
"6390","6592"
"6391","6592"
"6399","6592"
"6402","6592"
"6406","6592"
"6411","6592"
"6414","6592"
"6415","6592"
"6420","6592"
"6425","6592"
"6427","6592"
"6429","6592"
"6446","6592"
"6448","6592"
"6462","6592"
"6465","6592"
"6467","6592"
"6469","6592"
"6473","6592"
"6477","6592"
"6478","6592"
"6481","6592"
"6488","6592"
"6489","6592"
"6503","6592"
"6506","6592"
"6509","6592"
"6536","6592"
"6555","6592"
"6556","6592"
"6558","6592"
"6563","6592"
"6566","6592"
"6567","6592"
"6587","6592"
"6601","6592"
"6603","6592"
"6607","6592"
"6609","6592"
"6612","6592"
"6613","6592"
"6623","6592"
"6632","6592"
"6638","6592"
"6640","6592"
"6644","6592"
"6646","6592"
"6655","6592"
"6663","6592"
"6664","6592"
"6665","6592"
"6669","6592"
"6671","6592"
"6677","6592"
"6678","6592"
"6680","6592"
"6682","6592"
"6686","6592"
"6692","6592"
"6694","6592"
"6714","6592"
"6715","6592"
"6717","6592"
"6721","6592"
"6730","6592"
"6741","6592"
"6744","6592"
"6745","6592"
"6748","6592"
"6754","6592"
"6756","6592"
"6761","6592"
"6764","6592"
"6765","6592"
"6768","6592"
"6772","6592"
"6774","6592"
"6776","6592"
"6780","6592"
"6783","6592"
"6794","6592"
"6817","6592"
"6818","6592"
"6819","6592"
"6823","6592"
"6824","6592"
"6826","6592"
"6829","6592"
"6846","6592"
"6850","6592"
"6867","6592"
"6893","6592"
"6898","6592"
"6899","6592"
"6910","6592"
"6911","6592"
"6918","6592"
"6921","6592"
"6935","6592"
"6936","6592"
"6945","6592"
"6947","6592"
"6949","6592"
"6954","6592"
"6960","6592"
"6961","6592"
"6977","6592"
"6983","6592"
"6994","6592"
"7003","6592"
"7011","6592"
"7014","6592"
"7015","6592"
"7016","6592"
"7020","6592"
"7029","6592"
"7032","6592"
"7035","6592"
"7038","6592"
"7067","6592"
"7069","6592"
"7076","6592"
"7078","6592"
"7081","6592"
"7083","6592"
"7089","6592"
"7090","6592"
"7093","6592"
"7112","6592"
"7118","6592"
"7120","6592"
"7134","6592"
"7140","6592"
"7141","6592"
"7143","6592"
"7150","6592"
"7151","6592"
"7157","6592"
"7163","6592"
"7165","6592"
"7167","6592"
"7170","6592"
"7194","6592"
"7204","6592"
"7209","6592"
"7211","6592"
"7213","6592"
"7221","6592"
"7224","6592"
"7225","6592"
"7234","6592"
"7242","6592"
"7245","6592"
"7247","6592"
"7258","6592"
"7281","6592"
"7283","6592"
"7287","6592"
"7288","6592"
"7292","6592"
"7293","6592"
"7295","6592"
"7297","6592"
"7299","6592"
"7301","6592"
"7316","6592"
"7317","6592"
"7328","6592"
"7336","6592"
"7341","6592"
"7344","6592"
"7346","6592"
"7349","6592"
"7361","6592"
"7366","6592"
"7369","6592"
"7372","6592"
"7379","6592"
"7382","6592"
"7383","6592"
"7398","6592"
"7399","6592"
"7409","6592"
"7418","6592"
"7421","6592"
"7422","6592"
"7426","6592"
"7431","6592"
"7440","6592"
"7455","6592"
"7464","6592"
"7476","6592"
"7478","6592"
"7495","6592"
"7505","6592"
"7512","6592"
"7515","6592"
"7519","6592"
"7520","6592"
"7526","6592"
"7528","6592"
"7533","6592"
"7537","6592"
"7538","6592"
"7540","6592"
"7541","6592"
"7545","6592"
"7549","6592"
"7551","6592"
"7553","6592"
"7560","6592"
"7563","6592"
"7572","6592"
"7575","6592"
"7583","6592"
"7590","6592"
"7592","6592"
"7597","6592"
"7598","6592"
"7602","6592"
"7607","6592"
"7611","6592"
"7622","6592"
"7624","6592"
"7627","6592"
"7633","6592"
"7635","6592"
"7638","6592"
"7652","6592"
"7656","6592"
"7664","6592"
"7666","6592"
"7668","6592"
"7670","6592"
"7671","6592"
"7676","6592"
"7679","6592"
"7681","6592"
"7693","6592"
"7694","6592"
"7698","6592"
"7705","6592"
"7711","6592"
"7724","6592"
"7726","6592"
"7730","6592"
"7743","6592"
"7745","6592"
"7748","6592"
"7751","6592"
"7752","6592"
"7759","6592"
"7760","6592"
"7766","6592"
"7767","6592"
"7774","6592"
"7783","6592"
"7788","6592"
"7790","6592"
"7791","6592"
"7798","6592"
"7801","6592"
"7809","6592"
"7828","6592"
"7835","6592"
"7839","6592"
"7840","6592"
"7843","6592"
"7847","6592"
"7862","6592"
"7877","6592"
"7878","6592"
"7883","6592"
"7886","6592"
"7891","6592"
"7893","6592"
"7900","6592"
"7905","6592"
"7913","6592"
"7920","6592"
"7926","6592"
"7946","6592"
"7950","6592"
"7957","6592"
"7958","6592"
"7962","6592"
"7963","6592"
"7966","6592"
"7970","6592"
"7987","6592"
"7988","6592"
"7991","6592"
"8002","6592"
"8008","6592"
"8019","6592"
"8027","6592"
"8028","6592"
"8030","6592"
"8033","6592"
"8042","6592"
"8046","6592"
"8047","6592"
"8049","6592"
"8053","6592"
"8054","6592"
"8062","6592"
"8064","6592"
"8065","6592"
"8076","6592"
"8083","6592"
"8088","6592"
"8095","6592"
"8096","6592"
"8102","6592"
"8103","6592"
"8107","6592"
"8110","6592"
"8114","6592"
"8116","6592"
"8137","6592"
"8138","6592"
"8140","6592"
"8143","6592"
"8156","6592"
"8165","6592"
"8172","6592"
"8173","6592"
"8179","6592"
"8184","6592"
"8208","6592"
"8212","6592"
"8240","6592"
"8246","6592"
"8252","6592"
"8260","6592"
"8272","6592"
"8278","6592"
"8284","6592"
"8287","6592"
"8288","6592"
"8289","6592"
"8300","6592"
"8305","6592"
"8311","6592"
"8312","6592"
"8313","6592"
"8316","6592"
"8322","6592"
"8336","6592"
"8353","6592"
"8356","6592"
"8359","6592"
"8368","6592"
"8371","6592"
"8383","6592"
"8384","6592"
"8396","6592"
"8397","6592"
"8416","6592"
"8418","6592"
"8422","6592"
"8424","6592"
"8427","6592"
"8437","6592"
"8441","6592"
"8447","6592"
"8449","6592"
"8453","6592"
"8455","6592"
"8458","6592"
"8462","6592"
"8468","6592"
"8469","6592"
"8470","6592"
"8484","6592"
"8489","6592"
"8491","6592"
"8497","6592"
"8523","6592"
"8530","6592"
"8531","6592"
"8532","6592"
"8534","6592"
"8542","6592"
"8548","6592"
"8552","6592"
"8553","6592"
"8557","6592"
"8558","6592"
"8561","6592"
"8565","6592"
"8567","6592"
"8569","6592"
"8572","6592"
"8574","6592"
"8580","6592"
"8582","6592"
"8585","6592"
"8587","6592"
"8593","6592"
"8598","6592"
"8601","6592"
"8609","6592"
"8613","6592"
"8620","6592"
"8623","6592"
"8624","6592"
"8626","6592"
"8632","6592"
"8637","6592"
"8640","6592"
"8657","6592"
"8659","6592"
"8660","6592"
"8661","6592"
"8686","6592"
"8689","6592"
"8690","6592"
"8691","6592"
"8708","6592"
"8710","6592"
"8718","6592"
"8728","6592"
"8730","6592"
"8735","6592"
"8738","6592"
"8742","6592"
"8745","6592"
"8748","6592"
"8770","6592"
"8772","6592"
"8781","6592"
"8788","6592"
"8799","6592"
"8810","6592"
"8816","6592"
"8828","6592"
"8833","6592"
"8835","6592"
"8840","6592"
"8842","6592"
"8862","6592"
"8863","6592"
"8867","6592"
"8868","6592"
"8873","6592"
"8877","6592"
"8890","6592"
"8892","6592"
"8901","6592"
"8916","6592"
"8917","6592"
"8922","6592"
"8926","6592"
"8936","6592"
"8939","6592"
"8940","6592"
"8951","6592"
"8976","6592"
"8979","6592"
"8986","6592"
"8992","6592"
"8997","6592"
"8999","6592"
"9003","6592"
"9008","6592"
"9034","6592"
"9039","6592"
"9040","6592"
"9043","6592"
"9046","6592"
"9047","6592"
"9049","6592"
"9052","6592"
"9054","6592"
"9059","6592"
"9063","6592"
"9076","6592"
"9078","6592"
"9080","6592"
"9101","6592"
"9106","6592"
"9113","6592"
"9116","6592"
"9121","6592"
"9128","6592"
"9130","6592"
"9134","6592"
"9135","6592"
"9136","6592"
"9144","6592"
"9156","6592"
"9157","6592"
"9158","6592"
"9170","6592"
"9178","6592"
"9185","6592"
"9186","6592"
"9187","6592"
"9196","6592"
"9222","6592"
"9224","6592"
"9232","6592"
"9244","6592"
"9246","6592"
"9258","6592"
"9259","6592"
"9260","6592"
"9278","6592"
"9283","6592"
"9291","6592"
"9292","6592"
"9296","6592"
"9301","6592"
"9302","6592"
"9320","6592"
"9329","6592"
"9336","6592"
"9337","6592"
"9338","6592"
"9339","6592"
"9342","6592"
"9347","6592"
"9353","6592"
"9356","6592"
"9365","6592"
"9366","6592"
"9367","6592"
"9379","6592"
"9380","6592"
"9388","6592"
"9391","6592"
"9393","6592"
"9396","6592"
"9399","6592"
"9408","6592"
"9409","6592"
"9418","6592"
"9445","6592"
"9448","6592"
"9455","6592"
"9461","6592"
"9469","6592"
"9481","6592"
"9486","6592"
"9487","6592"
"9488","6592"
"9498","6592"
"9499","6592"
"9503","6592"
"9504","6592"
"9510","6592"
"9520","6592"
"9521","6592"
"9522","6592"
"9525","6592"
"9535","6592"
"9543","6592"
"9549","6592"
"9551","6592"
"9552","6592"
"9557","6592"
"9558","6592"
"9560","6592"
"9561","6592"
"9565","6592"
"9568","6592"
"9574","6592"
"9577","6592"
"9580","6592"
"9591","6592"
"9632","6592"
"9645","6592"
"9649","6592"
"9651","6592"
"9659","6592"
"9666","6592"
"9669","6592"
"9674","6592"
"9678","6592"
"9685","6592"
"9693","6592"
"9694","6592"
"9699","6592"
"9701","6592"
"9707","6592"
"9717","6592"
"9718","6592"
"9720","6592"
"9721","6592"
"9728","6592"
"9729","6592"
"9730","6592"
"9733","6592"
"9736","6592"
"9738","6592"
"9742","6592"
"9743","6592"
"9747","6592"
"9748","6592"
"9749","6592"
"9752","6592"
"9756","6592"
"9759","6592"
"9763","6592"
"9766","6592"
"9772","6592"
"9778","6592"
"9782","6592"
"9784","6592"
"9802","6592"
"9804","6592"
"9819","6592"
"9825","6592"
"9836","6592"
"9838","6592"
"9841","6592"
"9844","6592"
"9854","6592"
"9863","6592"
"9866","6592"
"9874","6592"
"9879","6592"
"9880","6592"
"9886","6592"
"9887","6592"
"9903","6592"
"9906","6592"
"9908","6592"
"9911","6592"
"9920","6592"
"9921","6592"
"9923","6592"
"9926","6592"
"9927","6592"
"9932","6592"
"9935","6592"
"9936","6592"
"9939","6592"
"9941","6592"
"9947","6592"
"9951","6592"
"9959","6592"
"9960","6592"
"9974","6592"
"9977","6592"
"9983","6592"
"9996","6592"
"9997","6592"
"10006","6592"
"10008","6592"
"10012","6592"
"10020","6592"
"10022","6592"
"10023","6592"
"10024","6592"
"10034","6592"
"10038","6592"
"10041","6592"
"10057","6592"
"10060","6592"
"10063","6592"
"10065","6592"
"10066","6592"
"10068","6592"
"10074","6592"
"10076","6592"
"10081","6592"
"10084","6592"
"10101","6592"
"10104","6592"
"10112","6592"
"10119","6592"
"10122","6592"
"10131","6592"
"10135","6592"
"10136","6592"
"10138","6592"
"10149","6592"
"10155","6592"
"10159","6592"
"10164","6592"
"10175","6592"
"10179","6592"
"10182","6592"
"10185","6592"
"10194","6592"
"10196","6592"
"10197","6592"
"10200","6592"
"10204","6592"
"10211","6592"
"10214","6592"
"10215","6592"
"10233","6592"
"10238","6592"
"10247","6592"
"10255","6592"
"10261","6592"
"10266","6592"
"10268","6592"
"10269","6592"
"10279","6592"
"10281","6592"
"10284","6592"
"10285","6592"
"10288","6592"
"10290","6592"
"10292","6592"
"10294","6592"
"10295","6592"
"10299","6592"
"10307","6592"
"10309","6592"
"10317","6592"
"10322","6592"
"10326","6592"
"10332","6592"
"10334","6592"
"10344","6592"
"10357","6592"
"10362","6592"
"10363","6592"
"10372","6592"
"10375","6592"
"10377","6592"
"10388","6592"
"10395","6592"
"10400","6592"
"10402","6592"
"10409","6592"
"10410","6592"
"10418","6592"
"10423","6592"
"10426","6592"
"10427","6592"
"10431","6592"
"10438","6592"
"10440","6592"
"10446","6592"
"10453","6592"
"10456","6592"
"10457","6592"
"10466","6592"
"10473","6592"
"10504","6592"
"10505","6592"
"10510","6592"
"10514","6592"
"10517","6592"
"10519","6592"
"10520","6592"
"10521","6592"
"10526","6592"
"10528","6592"
"10530","6592"
"10534","6592"
"10537","6592"
"10539","6592"
"10543","6592"
"10554","6592"
"10560","6592"
"10568","6592"
"10575","6592"
"10579","6592"
"10587","6592"
"10589","6592"
"10592","6592"
"10594","6592"
"10603","6592"
"10624","6592"
"10625","6592"
"10628","6592"
"10637","6592"
"10645","6592"
"10646","6592"
"10671","6592"
"10672","6592"
"10675","6592"
"10678","6592"
"10679","6592"
"10681","6592"
"10686","6592"
"10687","6592"
"10689","6592"
"10690","6592"
"10695","6592"
"10696","6592"
"10699","6592"
"10704","6592"
"10718","6592"
"10721","6592"
"10724","6592"
"10726","6592"
"10732","6592"
"10752","6592"
"10757","6592"
"10759","6592"
"10785","6592"
"10786","6592"
"10788","6592"
"10790","6592"
"10797","6592"
"10805","6592"
"10816","6592"
"10824","6592"
"10829","6592"
"10831","6592"
"10846","6592"
"10847","6592"
"10850","6592"
"10855","6592"
"10868","6592"
"10869","6592"
"10879","6592"
"10882","6592"
"10888","6592"
"10895","6592"
"10900","6592"
"10906","6592"
"10908","6592"
"10912","6592"
"10918","6592"
"10919","6592"
"10924","6592"
"10926","6592"
"10934","6592"
"10936","6592"
"10941","6592"
"10942","6592"
"10944","6592"
"10948","6592"
"10950","6592"
"10952","6592"
"10958","6592"
"10962","6592"
"10973","6592"
"10974","6592"
"10978","6592"
"10986","6592"
"10997","6592"
"11015","6592"
"11029","6592"
"11034","6592"
"11039","6592"
"11045","6592"
"11048","6592"
"11058","6592"
"11065","6592"
"11070","6592"
"11073","6592"
"11074","6592"
"11087","6592"
"11091","6592"
"11095","6592"
"11102","6592"
"11104","6592"
"11105","6592"
"11111","6592"
"11114","6592"
"11117","6592"
"11121","6592"
"11126","6592"
"11130","6592"
"11133","6592"
"11136","6592"
"11168","6592"
"11186","6592"
"11201","6592"
"11203","6592"
"11206","6592"
"11222","6592"
"11223","6592"
"11224","6592"
"11225","6592"
"11228","6592"
"11229","6592"
"11242","6592"
"11247","6592"
"11252","6592"
"11255","6592"
"11261","6592"
"11263","6592"
"11275","6592"
"11280","6592"
"11304","6592"
"11308","6592"
"11311","6592"
"11315","6592"
"11318","6592"
"11319","6592"
"11325","6592"
"11333","6592"
"11338","6592"
"11351","6592"
"11357","6592"
"11364","6592"
"11368","6592"
"11370","6592"
"11372","6592"
"11374","6592"
"11379","6592"
"11388","6592"
"11397","6592"
"11400","6592"
"11405","6592"
"11410","6592"
"11414","6592"
"11416","6592"
"11417","6592"
"11421","6592"
"11441","6592"
"11447","6592"
"11451","6592"
"11452","6592"
"11456","6592"
"11461","6592"
"11465","6592"
"11475","6592"
"11476","6592"
"11480","6592"
"11482","6592"
"11485","6592"
"11486","6592"
"11487","6592"
"11490","6592"
"11492","6592"
"11496","6592"
"11501","6592"
"11503","6592"
"11511","6592"
"11518","6592"
"11535","6592"
"11537","6592"
"11560","6592"
"11565","6592"
"11566","6592"
"11574","6592"
"11581","6592"
"11583","6592"
"11585","6592"
"11590","6592"
"11592","6592"
"11593","6592"
"11600","6592"
"11611","6592"
"11616","6592"
"11618","6592"
"11624","6592"
"11628","6592"
"11632","6592"
"11641","6592"
"11650","6592"
"11651","6592"
"11653","6592"
"11673","6592"
"11681","6592"
"11684","6592"
"11687","6592"
"11690","6592"
"11703","6592"
"11714","6592"
"11730","6592"
"11737","6592"
"11752","6592"
"11753","6592"
"11765","6592"
"11769","6592"
"11770","6592"
"11771","6592"
"11775","6592"
"11784","6592"
"11785","6592"
"11789","6592"
"11794","6592"
"11802","6592"
"11809","6592"
"11822","6592"
"11831","6592"
"11833","6592"
"11834","6592"
"11836","6592"
"11841","6592"
"11842","6592"
"11857","6592"
"11865","6592"
"11867","6592"
"11869","6592"
"11872","6592"
"11874","6592"
"11877","6592"
"11878","6592"
"11887","6592"
"11895","6592"
"11906","6592"
"11919","6592"
"11925","6592"
"11930","6592"
"11937","6592"
"11941","6592"
"11946","6592"
"11947","6592"
"11963","6592"
"11967","6592"
"11969","6592"
"11973","6592"
"11983","6592"
"11991","6592"
"11993","6592"
"11995","6592"
"11999","6592"
"12003","6592"
"12015","6592"
"12019","6592"
"12022","6592"
"12023","6592"
"12031","6592"
"12033","6592"
"12041","6592"
"12046","6592"
"12047","6592"
"12053","6592"
"12064","6592"
"12068","6592"
"12069","6592"
"12071","6592"
"12076","6592"
"12077","6592"
"12083","6592"
"12086","6592"
"12098","6592"
"12102","6592"
"12108","6592"
"12113","6592"
"12127","6592"
"12138","6592"
"12154","6592"
"12155","6592"
"12157","6592"
"12171","6592"
"12174","6592"
"12178","6592"
"12183","6592"
"12184","6592"
"12190","6592"
"12200","6592"
"12201","6592"
"12215","6592"
"12217","6592"
"12218","6592"
"12219","6592"
"12221","6592"
"12224","6592"
"12226","6592"
"12236","6592"
"12237","6592"
"12241","6592"
"12248","6592"
"12260","6592"
"12278","6592"
"12282","6592"
"12295","6592"
"12296","6592"
"12297","6592"
"12298","6592"
"12335","6592"
"12341","6592"
"12349","6592"
"12357","6592"
"12362","6592"
"12363","6592"
"12369","6592"
"12375","6592"
"12377","6592"
